konkordancija;gold_label
onemogućavaju da barem zarade dovoljno novaca preko studentskih ugovora da mogu preživjeti, sada im bacaju mrvice umjesto da se konkretno pozabave pitanjem stanovanja koje za mlade u Hrvatskoj postaje neodrživo. Dragi premijeru, s;frazeolosko
to niye samo u predizbornoj kampanji i može li javnost kaznit političare i izvršit pritisak i ne dopustit da nam bacaju mrvice (i naslikavat se s njima), ne samo nama nego i svim ugroženim skupinama u ovoy Lijepoj našoj. Glavni problem je;frazeolosko
Dubrovnika. Najviše titra onaj ponad Vrata od Pila. Na Trgu Luža ispred Orlandova stupa jeli su debele sendviče i mrvice bacali golubovima. Često su sjedili u njegovu podnožju i gledali Gradski zvonik s fantastično inspirativnim satom;doslovno
cemo vidjeti da li si me zasluzio Ako nekome direktno kazes da zelis biti samo prijatelj, a onda ga drzis u blizini i bacaš mrvice, stvarno nisi fer. Naravno da mislim. Doživjela i vidjela kod drugih. Kakva crna navika, što se time opterećuješ.;frazeolosko
strašna cijena. Mislili smo da ćemo nastaviti maltretirati Gazu, bacati joj mrvice poput desetak tisuća viška izraelskih radnih dozvola, uz uvjet da se lijepo ponašaju, a i dalje ih držati u zatvoru.;frazeolosko
roka u ime EU-a, one iste u kojoj bogate zemlje poput Njemačke ili Francuske zemljama na periferiji EU-a, bacaju samo mrvice, i braniti što? Možda zemlje u kojima se veličaju naci-kolaboratori iz WWII, sa Baltika. Lijepo si to smislio. Što se;frazeolosko
primanje tzv. covid dodatak. Iako covid kriza traje već više od godinu dana, Plenković umirovljenicima baca mrvice na stol dva tjedana prije lokalnih izbora koji će se održati u svibnju. Mislim da je premijer vrlo opširno objasnio;frazeolosko
"je cili hepi!"" Mama je rekla: ""A ja sam ga izvela na balkon i rekla mu da ga vodim u zoološki! Uru vrimena je mamin miš baca mrvice kruva u pitare, da nahrani zebre i žirafe!"" Kragićka je ukočenjeno sidila na katrigi. Ona je piljila ispred sebe sa";doslovno
"pravo, a ne socijalna kategorija kao u svim normalnim europskim zemljama"", kazao je Spajić. Spajić: 'Ljudima bacaju mrvice' Spajić smatra kako se ljudima bacaju mrvice jer umirovljenici nisu svjesni da oni pune proračun nego misle da ih pune";frazeolosko
u Srinjinam dolazi 'pod Baščom' gdi je bio Dioklecijanov ribnjak, a ona se tu igrala kad je bila malena i bacala ribicam mrvice od kruva i mesa. Ko nju i sada vidi, pa zaustavi konje i karocu i nju poljubi, ostao bi čestit za vavik. Bijaše se našao;doslovno
odluči drugi put ostaviti djecu u šumi. Tog puta djeca ne imahu vremena skupljati kamenčiće, pa umjesto njih bacaše mrvice kruha. Nažalost, gladne šumske životinje pojedu mrvice, te Ivica i Marica ostanu izgubljeni. U nepoznatzom kraju;doslovno
gospodarski stručnjak i analitičar i komentator u medijima. Mamić nije Računica je u stvari jasna Raji se bacaju mrvice .. Kapitalci ostaju i opstaju u vrhu o trošku i na račun raje Zato ne zarezujem ovo radikalno krilo Torcide i BBB a koji će;frazeolosko
