konkordancija;gold_label
Bijele ljepljive ploče djeluju na osnovi bijele boje i odraza svjetlosti. Zato ne smiju biti u sjeni i moraju visjeti na vidljivim mjestima, po mogućnosti na rubovima nasada gdje je strujanje zraka jače.;doslovno
Zato pronađite šešire koji im se sviđaju. Što veći šešir kupite to će više kože biti u sjeni. Koristite kremu za sunčanje na pametan način, da dobijete zaštitu od izravnog sunčevog zračenja tijekom najtoplijeg dijela;doslovno
Leiner je do sada, na žalost, gotovo uvijek bio u sjeni ličnosti Aleksandra Schulteisa, prvog direktora Muzeja i čakovečkog kipara, no posljednjih godina istraživači sve više ističu njegov samostalan doprinos razvoju institucije.;frazeolosko
doslovno Za pola ure prinili smo jedan teleskop na ono prvo misto jer nam je ovamo poče smetat kampanel, a za uru i druga dva i donili lumbreline kako bi bili u sjeni. Bilo mi je krivo što nismo ništa snimili ali ni bilo vrimena za plač.;doslovno
Iako je ovaj dio austrougarske obale bio u sjeni Trsta i Chioggie, ribarskih sila sjevernog Jadrana, značenje fažanskog ribarstva ipak je bilo ključno za lokalno stanovništvo i razvoj mjesta.;frazeolosko
No, sve te borbe posada u malim klasama bile su u sjeni obračuna velikih igrača u klasi koja je privlačila najviše pažnje medija i gledatelja uz samu obalu.;frazeolosko
Koreji koliko je u biti bio brutalan ali je nekako bio u sjeni Drugog svjetskog rata koji je završio pet godina ranije, pa mu se u javnom diskursu pridavalo manje pažnje nego što je povijesno zasluživao.;frazeolosko
Ostali susreti bili su u sjeni zbivanja na Štruvinu igralištu, gdje se odlučivalo o plasmanu i gdje je atmosfera bila daleko napetija.;frazeolosko
Svečana ceremonija bila je u sjeni rastuće zabrinutosti lokalnog stanovništva zbog održavanja takmičenja u doba borbe protiv pandemije i ograničenih zdravstvenih kapaciteta.;frazeolosko
Postojanje književnog korpusa koji je, kao što autorice navode, “dugo bio u sjeni francuskog književnog kanona” tek se u novijim istraživanjima počinje sustavno valorizirati.;frazeolosko
Zar svaka dobra akcija mora biti u sjeni kriminala i negativnih vijesti koje redovito pune naslovnice? Dajte ljudi možemo bolje od toga, stanimo na kraj senzacionalističkim;frazeolosko
Utjecaj Drugoga svjetskog rata na Tolkienovo stvaralaštvo dugo je vremena bilo u sjeni Prvoga svjetskog rata, koji je na autora ostavio neposrednije i osobnije tragove.;frazeolosko
Ipak, sve je to bilo u sjeni izložbe koju smo prethodno posjetili, a koja je zbog svoje interaktivnosti izazvala daleko veći interes publike.;frazeolosko
Koliko tisuća pozadinskih osvjetljenja imaju, LED televizori i dalje će biti u sjeni OLED televizora, barem kada je riječ o kontrastu i dubini crne boje.;frazeolosko
Bez strmog spuštanja. Nacionalni park Risnjak će vjerojatno uvijek biti u sjeni nekih drugih naših nacionalnih parkova. No, u jednu ruku upravo ga ta tišina i manja posjećenost čine posebnim.;frazeolosko
Povijest pobožnosti prema svetom Joakimu ponešto je nesigurnija i slabije poznata pa je on – čini se – bio u sjeni sve do 1584. g. kada je napokon uključen u liturgijski kalendar.;frazeolosko
On je zapravo popustio pred pritiscima okoline, kojoj je godilo i dalje biti u sjeni bivšega državnog poglavara. Tvrditi da je Poglavnika netko naveo na takvu odluku značilo bi zanemariti složenost političkih okolnosti toga vremena.;frazeolosko
Iako je bio favorit žirija, kovrčavi dječak cijelo vrijeme showa bio je u sjeni plesnih skupina, pa je pobjeda u showu Nove TV zatekla i publiku i same natjecatelje.;frazeolosko
Prije oko 230 milijuna godina tijekom trijasa. Prvi dinosauri mesožderi bili su u sjeni većih grabežljivaca koji nisu pripadali toj vrsti i koji su tada dominirali kopnenim ekosustavima.;frazeolosko
Mislim da je dokumentarni film nepravedno osuđen da bude u sjeni igranog filma. S obzirom na to koliko snažno može oblikovati javno mišljenje, zaslužuje ravnopravan tretman.;frazeolosko
Koliko god da je sunce jako, druga polovica kupole uvijek će biti u sjeni, održavajući vodu hladnijom i pitkom. Međutim, kako biste uočili razliku u temperaturi, potrebno je redovito pratiti položaj sunca.;doslovno
Ali ta mladica mora preživiti ovo žarko ljetno sunce. A čovjek, kažnjenik, štiti mladicu svojom sjenom. On stoji uz tu mladicu, leđima okrenut suncu, sjenom pokriva mladu biljku;doslovno
Srednjovjekovna perzijska književnost. Iako je za vrijeme abasidskih kalifa ova književnost bila u sjeni arapske, vrlo brzo je perzijski postao jezik književnosti Srednje i Zapadne Azije.;frazeolosko
kako bi ih prikazao impresivnijima no što već jesu? Moraju li impresivni povijesni likovi biti u sjeni onih koji su zamišljeni u glavama redatelja čija je ambicija jača od stvarne sposobnosti kreiranja priče;frazeolosko
Sunce topi snijeg s krova dok kišni odvodi mogu biti u sjeni. Otopljena voda će se tada smrznuti i stvoriti ledene barijere koje mogu oštetiti oluke.;doslovno
Uputno je graditi na jugu da ti ljeti cijeli južni zid u podne bude u sjeni, a zimi da sunce ide kroz prozore u kuću, točno kako su nekad gradili stare kamene kuće;doslovno
Takva voda zadržava solarnu energiju 24 sata. Voda ne smije biti u sjeni nego je sunce treba zagrijavati. Što je voda zagrijanija, to će sustav grijanja biti učinkovitiji tijekom noći.;doslovno
Pritom se ne gubi pažnja i fokus, jer dokumentarni će film uvijek biti u sjeni igranog filma, ako je festival mješovit, što potvrđuje i ovogodišnji program.;frazeolosko
Imala problema i sa slabom vidljivošću, jer je većina staze bila u sjeni. Dijelove na suncu je dobro odvozila, no prijelazi između svjetla i sjene stvarali su dodatne poteškoće.;doslovno
Morao odstupiti. No, do sada su NGO-i uglavnom bili u sjeni, dok su se najveće pronevjere događale u državnim agencijama, što je izazvalo dodatne polemike u javnosti.;frazeolosko
Je pola vrimena publika bila osvitljena, a oni na pozornici bili u sjeni? Zašto oni sa dicon ča plačedu ili se grintavo vrte po tribinama nisu bili upozoreni, pitali su organizatore.;doslovno
Po meni odličnog, kuhara Ivicu Fajta. On je često bio u sjeni nekih, u to vrijeme, poznatijih šefova i mislim da je tek kasnije dobio priznanje koje je zasluživao.;frazeolosko
Jedna razina je bila izložena Sunčevoj svjetlosti dok je druga bila u sjeni. Dva bloka su bila izložena svemirskim uvjetima kako bi se usporedile temperaturne razlike.;doslovno
nema parametra potrebnog za usporedbu. Za pravu usporedbu kompletna scena mora biti u sjeni. Iako i ja na jednoj od slika gore imam plamene refleksije, to ipak narušava objektivnost prikaza.;doslovno
vidljivo već na članku jedan, i nažalost kao uvijek svaki dobar zakon bit će u sjeni jer ćemo sve svesti na ideološke promjene. Ovdje ih ponovno dijelimo umjesto da raspravljamo o suštini.;frazeolosko
spomenik koji je postao zaštitnikom grada. Skopje je dugo vremena bilo u sjeni Ohrida, no projekt “Skopje 2014” je makedonskoj metropoli donio velike promjene u vizualnom identitetu i urbanom prostoru.;frazeolosko
Alga je izvađena sa pola metra dubine iz procjepa, bila je u sjeni kao u tvom slučaju. Velika većina organizama je iz plićaka pa im takvi uvjeti više odgovaraju.;doslovno
Brazilci su do 1958. godine na južnoameričkom kontinentu bili u sjeni Urugvaja i Argentine. Na Svjetskom prvenstvu u Švedskoj to se napokon promijenilo osvajanjem prvog naslova.;frazeolosko
na sebi svojstven način Georgina je rođena emancipirana, ne smeta joj biti u sjeni Ronalda, jer ona ima svoj svijet i svoju individualnost koja se ne temelji isključivo na njegovoj slavi.;frazeolosko
spisima spominje se župa sv. Maura. U idućim stoljećima bila je u sjeni Kopra (pravo krštenja dobila je tek 1212) i Pirana (pomorska trgovina bila je pod njihovim utjecajem), što je utjecalo na njezin sporiji razvoj.;frazeolosko
Budući da se radi o mediteranskom trgu, dio prostora treba biti u sjeni, u hladu, zato, kaže Deković, treba zasaditi zelenilo kako bi se stvorili ugodniji uvjeti boravka tijekom ljeta.;doslovno
bile su određene norme vremena. Vladarice su tijekom 19. stoljeća i dalje bile u sjeni svojih muževa. U skladu s građanskim idealima, one su rijetko imale javnu političku ulogu.;frazeolosko
Tek kad se sjetio ostalih stanara, morao je priznati da su i oni bili u sjeni svoga gospodara. Ćudljivi sluga sa svojim ispadima dodatno je pojačavao taj dojam podređenosti.;frazeolosko
Ivane Brlić Mažuranić, najveće hrvatske književnice. Jako je lijepo biti u sjeni velikih, to je ono što naše društvo često zaboravlja kada govori o mentorstvu i nasljeđu.;frazeolosko
Leiner je do sada, na žalost, gotovo uvijek bio u sjeni ličnosti Aleksandra Schulteisa, prvog direktora Muzeja i čakovečkog kipara, no novija istraživanja sve više naglašavaju njegovu samostalnu ulogu u formiranju zbirki.;frazeolosko
postala je trenutačno najkontroverznija hrvatska političarka. Nakon što je uglavnom bila u sjeni Ivana Vilibora Sinčića (iako je navodno upravljala procesima, a i strateški povlačila poteze), sada je izbila u prvi plan.;frazeolosko
Kako bi ilustrirali ovaj princip pogledajmo što se događa kad imamo dva svjetla istog intenziteta. Svjetlo s desne strane osvijetlit će tu stranu lica dok će lijeva strana biti u sjeni (slika u prethodnom odlomku teksta);doslovno
misliti na zaštitu objekata i opreme od daljnjeg propadanja. Strateški planovi razvoja bili su u sjeni goleme većine dugoležećih kroničnih bolesnika s lošom socijalnom situacijom i nedostatnim kapacitetima skrbi.;frazeolosko
Najbolji način je izbjegavati uvjete u kojima se osoba previše znoji – biti u sjeni, hladu, u prostorijama rashlađenim klima uređajem. Kada osip nastupi, preporučuje se lagana odjeća i unos dovoljno tekućine.;doslovno
Želja je pružiti i uvod u postratni period koji je još uvijek bio u sjeni ratnih zbivanja, a čiji se utjecaj osjeća sve do danas u političkim i društvenim odnosima.;frazeolosko
ne završava dolaskom jeseni. Turisti i dalje posjećuju naš kraj. Slunj je donedavno bio u sjeni Plitvica ali pomalo postaje ne samo omiljelo odredište u prolazu nego i mjesto na kojem se ostaje nekoliko dana;frazeolosko
Kako djetetu ne bi smetalo sunce, znači lice mu uvijek treba biti u sjeni i zaklonjeno od izravnih sunčevih zraka, jer je dječja koža osjetljivija i podložnija opeklinama nego koža odraslih.;doslovno
Iako je oduvijek bila u sjeni svoje sestre, kraljice Anne, Mary Boleyn u posljednje vrijeme privlači sve više povjesničara koji pokušavaju rekonstruirati njezinu stvarnu ulogu na dvoru.;frazeolosko
malih naroda, kakvi su i hrvatski i slovenski narod. Mali su bili u sjeni velikih, a Londonski ugovor bio je tada najnoviji primjer slika političke neravnopravnosti u Europi.;frazeolosko
Budući kralj i kraljica i normalno je da ne žele biti u sjeni. Pokušavaju ostati relevantni u javnosti. Meghan i Harry donijeli su drukčiji stil komunikacije s medijima.;frazeolosko
Kad smo shvatili da su starci cijelo prijepodne radili u vrtu na jakom suncu, povukli smo stol pod staru trešnju kako bi ručali u sjeni i barem nakratko došli k sebi, prije nastavka radova.;doslovno
Kurt je oduvijek bio u sjeni svog starijeg brata Erica i nikada nije postao šampion. Kada mu se napokon pružila prilika, morao je dokazati da vrijedi samostalno.;frazeolosko
