konkordancija;gold_label
, pripadnicima HOS-ove brigade koja se zvala po imenu Rafaela Bobana. Još uoči Božića Baldasar je također naletio na minu Milorada Pupovca, koji ga je proglasio rasistom zato što je otklonio koncert romske glazbe u sklopu Božićnih;frazeolosko
"krenuti naprijed čak i kada smo mi već napustili prvu crtu obrane Tog dana je TAM-ić s ročnim vojnicima JNA naletio na minu pored hrvatske barikade kod kafića ""Slon"" budući nije vozio po cesti nego po zelenoj površini. Uvjeren sam kako su ti";doslovno
"nožem u zaleđenoj zemlji kanala uz cestu neku rupu, dovukao haubu od nekog starog ""stojadina"" koji je naletio na minu, i haubom prekrio rupu. U njoj je naložio malu vatru a rupa u zemlji i hauba su štitili da se vatra ne vidi u noći. Dovukao me";doslovno
Željko Kulušić i Josip Šantić. Oni su kao pripadnici 141. splitske brigade Hrvatske vojske automobilom naletili na minu i stradali. Željko Kulušić rođen je 8. svibnja 1954. godine u Zagrebu u splitskoj obitelji Otta i Vesanke. Odrastao je u;doslovno
/PIXSELL Na današnji dan 1992. godine na prvoj crti bojišta, u Starom Grabovcu kraj Novske, vozilom Hrvatske vojske na minu su naletjeli pripadnici 53. samostalnog bataljuna Dugo Selo. Trojica su izgubila život – Vlatko Margetić, Ivica;doslovno
Prvića i Tijata, gdje je ratna mornarica Kraljevine Jugoslavije samo nekoliko dana ranije postavila mine. Prvi je na minu naletio Prestolonaslednik Petar i odmah potonuo. Vidjevši što se dogodilo, zapovjednik Karađorđa zapovjedio je;doslovno
TAM, koji je, ne želeći ga zaustaviti, vozač kamiona skrenuo s ceste na zemljani put gdje je naletio na protutenkovsku minu koja je eksplodirala. Mala knjižnica Rukopis okuplja petnaest tekstova koji su bili prezentirani 15. studenoga;doslovno
biti prvi iz opkoljenog Vukovara, no, s obzirom da je jedan kamion pri prolasku kroz okupirano područje naletio na minu u čijoj su eksploziji ranjene dvije medicinske sestre, Liječnici bez granica odustali su od organiziranja drugih;doslovno
obavio, pa se vratio pisanju. Već prvu ili drugu godinu, kada sam tražio potporu Ministarstva kulture, naletio sam na minu. HDZ je bio na vlasti, ali se, čim mene nije bilo u predsjedništvu, slizao sa srpskom strankom i instalirao njezine;frazeolosko
tenkova okružile grad, predgrađe Vukovara. Priča o našim dečkima koji su u proboju naletjeli na rasprskavajući minu, neki poginuli odmah, neki ranjeni čekali u kukuruzištu da tko naiđe i spasi ih. I to je moći umjetnosti, u ovom slučaju;doslovno
, osigurala je ostanak u 3. HNL, nakon ispadanja Slavonije vjerojatno su računali i na trofej u Kupu ali su naletjeli na minu već u četvrtfinalu. Najavljeno je kako je BSK neugodan na svom terenu, no nekako je početak utakmice sugerirao lak;frazeolosko
ako mi se neka svidi poseksam se, ali nema emotivnog vezanja narednih par godina. I onda po svojoj sreci, opet naletim na minu kad jednom klin napravi rupu, ona je stalno tu i to je problem.. ja sve kombiniram...red, rad i disciplina (sex, droga,;frazeolosko
i razuma, a bez drskosti i vrijeđanja. Je li ovo i inače tu ovako ili sam ja naletjela na minu? Samo pitam. Zašto je vas uopće briga što će ona i njen muž jedno sa drugim raditi ili ne? Oboje znaju situaciju i nosit će;frazeolosko
